time,running,desired,pending,visible,in_flight
18:51:28,5,5,0,0,0
18:52:01,5,5,0,0,0
18:52:33,5,5,0,0,0
18:53:05,5,5,0,0,0
18:53:38,5,5,0,0,0
18:54:10,5,5,0,0,23
18:54:42,5,5,0,0,25
18:55:15,5,5,0,0,4
18:55:47,5,5,0,0,4
18:56:19,5,5,0,0,0
18:56:52,1,1,0,0,0
18:57:24,1,1,0,0,0
18:57:57,1,1,0,0,0
18:58:29,1,1,0,0,0
18:59:01,1,1,0,3365,9
18:59:34,1,1,0,6150,10
19:00:06,1,1,0,9185,16
19:00:38,1,1,0,9185,16
19:01:11,1,1,0,14950,9
19:01:43,1,1,0,15955,5
19:02:15,1,1,0,20301,1
19:02:48,1,1,0,21130,0
19:03:20,1,5,4,26575,4
19:03:52,5,5,0,22470,31
19:04:25,5,5,0,6065,20
19:04:57,5,5,0,0,1
19:05:29,5,5,0,0,15
19:06:02,5,5,0,0,15
19:06:34,5,5,0,2,20
19:07:07,5,5,0,0,25
19:07:39,5,5,0,0,25
19:08:11,5,5,0,0,1
19:08:44,5,5,0,0,25
19:09:16,5,5,0,0,0
19:09:48,5,5,0,0,0
19:10:21,5,5,0,0,0
19:10:53,1,1,0,0,0
19:11:25,1,1,0,0,0
19:11:58,1,1,0,0,0
19:12:30,1,1,0,0,0
19:13:03,1,1,0,0,0
19:13:35,1,1,0,0,0
19:14:07,1,1,0,0,0
